Country,City,HijriYear,HijriMonth,HijriMonthName,GregorianStartDate,GregorianYear,Authority,Method,SourceURL,ConfidenceScore,Notes,RecordId
Nigeria,Abuja,1409,3,Rabi al-Awwal,,,,,,,,dc74252010b9f3b6
Nigeria,Abuja,1409,4,Rabi al-Thani,,,,,,,,8d270273282a13d6
Nigeria,Abuja,1409,5,Jumada al-Ula,,,,,,,,19214abd1636017c
Nigeria,Abuja,1409,6,Jumada al-Akhirah,,,,,,,,1fe20fcedae8077e
Nigeria,Abuja,1409,7,Rajab,,,,,,,,8209bf08b7d4cd49
Nigeria,Abuja,1409,8,Shaban,,,,,,,,5c96a2b97b049763
Nigeria,Abuja,1409,9,Ramadan,,,,,,,,417264ba16c674d9
Nigeria,Abuja,1409,10,Shawwal,,,,,,,,88e3dc8552e46c3d
Nigeria,Abuja,1409,11,Dhu al-Qadah,,,,,,,,4c250a4bf7df2c32
Nigeria,Abuja,1409,12,Dhu al-Hijjah,,,,,,,,c9f28bd901712037
Nigeria,Abuja,1410,1,Muharram,,,,,,,,ba6397733eebbb5a
Nigeria,Abuja,1410,2,Safar,,,,,,,,53c1ad91f6cd0efc
Nigeria,Abuja,1410,3,Rabi al-Awwal,,,,,,,,b4c88b1e90d7a007
Nigeria,Abuja,1410,4,Rabi al-Thani,,,,,,,,0362ea79a4c23320
Nigeria,Abuja,1410,5,Jumada al-Ula,,,,,,,,4bdf26925e728c2c
Nigeria,Abuja,1410,6,Jumada al-Akhirah,,,,,,,,a128ed7714f70195
Nigeria,Abuja,1410,7,Rajab,,,,,,,,6c2fd96b6402e548
Nigeria,Abuja,1410,8,Shaban,,,,,,,,4ec9887efe4f8d8a
Nigeria,Abuja,1410,9,Ramadan,,,,,,,,02fa23460a9aee40
Nigeria,Abuja,1410,10,Shawwal,,,,,,,,01e0bc3f72998592
Nigeria,Abuja,1410,11,Dhu al-Qadah,,,,,,,,fa4f022167d2d816
Nigeria,Abuja,1410,12,Dhu al-Hijjah,,,,,,,,d48e22a047660572
Nigeria,Abuja,1411,1,Muharram,,,,,,,,0c8de1e0e5eb0d66
Nigeria,Abuja,1411,2,Safar,,,,,,,,ae162bae150c750d
Nigeria,Abuja,1411,3,Rabi al-Awwal,,,,,,,,6a7e151404b698eb
Nigeria,Abuja,1411,4,Rabi al-Thani,,,,,,,,9becb4b846470e48
Nigeria,Abuja,1411,5,Jumada al-Ula,,,,,,,,a42cb5df61640ebc
Nigeria,Abuja,1411,6,Jumada al-Akhirah,,,,,,,,4b743cba97ff62b9
Nigeria,Abuja,1411,7,Rajab,,,,,,,,9f22a2630863029f
Nigeria,Abuja,1411,8,Shaban,,,,,,,,87adbe7e4d47edab
Nigeria,Abuja,1411,9,Ramadan,,,,,,,,ea85e771c08d6987
Nigeria,Abuja,1411,10,Shawwal,,,,,,,,d7abd5e53c8dc179
Nigeria,Abuja,1411,11,Dhu al-Qadah,,,,,,,,5cbd6139b144be17
Nigeria,Abuja,1411,12,Dhu al-Hijjah,,,,,,,,c21d9aa08012a1f8
Nigeria,Abuja,1412,1,Muharram,,,,,,,,556a20f9fe0c8025
Nigeria,Abuja,1412,2,Safar,,,,,,,,7891614a039b0f37
Nigeria,Abuja,1412,3,Rabi al-Awwal,,,,,,,,a988de260476b7fd
Nigeria,Abuja,1412,4,Rabi al-Thani,,,,,,,,68a0b83b6326e2d3
Nigeria,Abuja,1412,5,Jumada al-Ula,,,,,,,,0c9c20198d2f442c
Nigeria,Abuja,1412,6,Jumada al-Akhirah,,,,,,,,85d1b4a664e1633c
Nigeria,Abuja,1412,7,Rajab,,,,,,,,4f0866fe4464ebf2
